"Date","Price","Open","High","Low","Change %"
"Nov 14, 2013","0.096","0.098","0.098","0.093","0.00%"
"Nov 13, 2013","0.096","0.101","0.103","0.093","-3.03%"
"Nov 12, 2013","0.099","0.094","0.096","0.089","5.54%"
"Nov 11, 2013","0.094","0.091","0.094","0.091","3.08%"
"Nov 08, 2013","0.091","0.091","0.094","0.088","2.25%"
"Nov 07, 2013","0.089","0.086","0.091","0.086","3.49%"
"Nov 06, 2013","0.086","0.091","0.091","0.086","-3.37%"
"Nov 05, 2013","0.089","0.086","0.089","0.086","9.88%"
"Nov 04, 2013","0.081","0.081","0.081","0.081","0.00%"
"Nov 03, 2013","0.081","0.081","0.081","0.081","0.00%"
"Nov 01, 2013","0.081","0.081","0.084","0.081","0.00%"
"Oct 31, 2013","0.081","0.083","0.083","0.081","0.00%"
"Oct 30, 2013","0.081","0.086","0.086","0.081","-5.81%"
"Oct 29, 2013","0.086","0.081","0.088","0.076","6.17%"
"Oct 28, 2013","0.081","0.076","0.081","0.073","10.20%"
"Oct 27, 2013","0.073","0.076","0.079","0.073","-3.29%"
"Oct 25, 2013","0.076","0.079","0.081","0.073","0.00%"
"Oct 24, 2013","0.076","0.073","0.076","0.068","7.04%"
"Oct 23, 2013","0.071","0.068","0.070","0.065","0.00%"
"Oct 22, 2013","0.071","0.076","0.076","0.068","7.58%"
"Oct 21, 2013","0.066","0.073","0.079","0.066","-13.27%"
"Oct 20, 2013","0.076","0.076","0.076","0.076","7.18%"
"Oct 18, 2013","0.071","0.089","0.091","0.071","-17.44%"
"Oct 17, 2013","0.086","0.122","0.132","0.081","-26.50%"
"Oct 16, 2013","0.117","0.162","0.165","0.112","-11.36%"
"Oct 15, 2013","0.132","0.076","0.137","0.071","85.92%"
"Oct 14, 2013","0.071","0.071","0.071","0.071","-6.58%"
"Oct 11, 2013","0.076","0.076","0.081","0.066","15.15%"
"Oct 10, 2013","0.066","0.088","0.091","0.063","-20.48%"
"Oct 09, 2013","0.083","0.081","0.085","0.073","-1.19%"
"Oct 08, 2013","0.084","0.063","0.084","0.058","121.05%"
"Oct 07, 2013","0.038","0.046","0.046","0.038","-25.05%"
"Oct 06, 2013","0.051","0.043","0.051","0.043","23.66%"
"Oct 04, 2013","0.041","0.051","0.051","0.038","-14.58%"
"Oct 03, 2013","0.048","0.045","0.051","0.041","20.00%"
"Oct 02, 2013","0.040","0.040","0.055","0.040","-24.53%"
"Oct 01, 2013","0.053","0.040","0.055","0.040","76.67%"
"Sep 30, 2013","0.030","0.041","0.041","0.028","-26.11%"
"Sep 29, 2013","0.041","0.036","0.041","0.036","12.78%"
"Sep 27, 2013","0.036","0.033","0.050","0.020","9.09%"
"Sep 26, 2013","0.033","0.050","0.050","0.028","-26.67%"
"Sep 25, 2013","0.045","0.050","0.053","0.045","-10.00%"
"Sep 24, 2013","0.050","0.051","0.056","0.050","8.70%"
"Sep 23, 2013","0.046","0.046","0.051","0.043","0.00%"
"Sep 22, 2013","0.046","0.046","0.046","0.046","0.00%"
"Sep 20, 2013","0.046","0.035","0.058","0.033","31.43%"
"Sep 19, 2013","0.035","0.035","0.040","0.033","0.00%"
"Sep 18, 2013","0.035","0.030","0.043","0.030","-12.50%"
"Sep 17, 2013","0.040","0.030","0.041","0.030","60.00%"
"Sep 16, 2013","0.025","0.023","0.041","0.015","9.65%"
"Sep 15, 2013","0.023","0.023","0.023","0.023","0.00%"
"Sep 13, 2013","0.023","0.040","0.040","0.015","0.00%"
"Sep 12, 2013","0.023","0.040","0.040","0.020","-34.29%"
"Sep 11, 2013","0.035","0.040","0.040","0.035","0.00%"
"Sep 10, 2013","0.035","0.035","0.035","0.030","16.67%"
"Sep 09, 2013","0.030","0.051","0.053","0.025","-40.83%"
"Sep 08, 2013","0.051","0.051","0.051","0.051","0.00%"
"Sep 07, 2013","0.051","0.051","0.051","0.051","0.00%"
"Sep 06, 2013","0.051","0.056","0.058","0.048","-8.93%"
"Sep 05, 2013","0.056","0.050","0.058","0.050","12.00%"
"Sep 04, 2013","0.050","0.050","0.056","0.050","8.70%"
"Sep 03, 2013","0.046","0.056","0.056","0.046","-17.56%"
"Sep 02, 2013","0.056","0.056","0.056","0.056","10.06%"
"Sep 01, 2013","0.051","0.051","0.051","0.051","0.00%"
"Aug 30, 2013","0.051","0.061","0.061","0.051","-8.93%"
"Aug 29, 2013","0.056","0.061","0.063","0.056","-8.20%"
"Aug 28, 2013","0.061","0.061","0.066","0.061","-3.17%"
"Aug 27, 2013","0.063","0.066","0.068","0.061","23.53%"
"Aug 26, 2013","0.051","0.058","0.066","0.051","-22.61%"
