"Date","Price","Open","High","Low","Change %"
"May 12, 2010","0.157","0.157","0.157","0.157","0.00%"
"May 11, 2010","0.157","0.157","0.157","0.157","3.29%"
"May 10, 2010","0.152","0.152","0.152","0.152","19.69%"
"May 07, 2010","0.127","0.127","0.127","0.127","11.40%"
"May 06, 2010","0.114","0.114","0.114","0.114","-26.45%"
"May 05, 2010","0.155","0.155","0.155","0.155","-8.82%"
"May 04, 2010","0.170","0.170","0.170","0.170","1.80%"
"May 03, 2010","0.167","0.167","0.167","0.167","1.21%"
"Apr 30, 2010","0.165","0.165","0.165","0.165","-1.20%"
"Apr 29, 2010","0.167","0.167","0.167","0.167","3.09%"
"Apr 28, 2010","0.162","0.162","0.162","0.162","6.58%"
"Apr 27, 2010","0.152","0.152","0.152","0.152","-3.18%"
"Apr 26, 2010","0.157","0.157","0.157","0.157","0.00%"
"Apr 23, 2010","0.157","0.157","0.157","0.157","0.00%"
"Apr 22, 2010","0.157","0.157","0.157","0.157","1.29%"
"Apr 21, 2010","0.155","0.155","0.155","0.155","1.97%"
"Apr 20, 2010","0.152","0.152","0.152","0.152","0.00%"
"Apr 19, 2010","0.152","0.152","0.152","0.152","-3.18%"
"Apr 16, 2010","0.157","0.157","0.157","0.157","-1.87%"
"Apr 15, 2010","0.160","0.160","0.160","0.160","0.00%"
"Apr 14, 2010","0.160","0.160","0.160","0.160","1.91%"
"Apr 13, 2010","0.157","0.157","0.157","0.157","10.56%"
"Apr 12, 2010","0.142","0.142","0.142","0.142","-9.55%"
"Apr 09, 2010","0.157","0.157","0.157","0.157","-3.09%"
"Apr 08, 2010","0.162","0.162","0.162","0.162","-2.99%"
"Apr 07, 2010","0.167","0.167","0.167","0.167","-2.91%"
"Apr 06, 2010","0.172","0.172","0.172","0.172","2.99%"
"Apr 05, 2010","0.167","0.167","0.167","0.167","0.00%"
"Apr 02, 2010","0.167","0.167","0.167","0.167","3.09%"
"Apr 01, 2010","0.162","0.162","0.162","0.162","3.18%"
"Mar 31, 2010","0.157","0.157","0.157","0.157","1.29%"
